DATE,NET_WORTH_MILLIONS
7/1/1989,762422
10/1/1989,813099
1/1/1990,794917
4/1/1990,819747
7/1/1990,822641
10/1/1990,828446
1/1/1991,929330
4/1/1991,958799
7/1/1991,939126
10/1/1991,998591
1/1/1992,980774
4/1/1992,957648
7/1/1992,999144
10/1/1992,957348
1/1/1993,982496
4/1/1993,983114
7/1/1993,994241
10/1/1993,1004055
1/1/1994,1056524
4/1/1994,1050924
7/1/1994,1021391
10/1/1994,947266
1/1/1995,987362
4/1/1995,1049442
7/1/1995,1072601
10/1/1995,1145671
1/1/1996,1239810
4/1/1996,1197872
7/1/1996,1181179
10/1/1996,1239914
1/1/1997,1278674
4/1/1997,1289810
7/1/1997,1318554
10/1/1997,1349873
1/1/1998,1374580
4/1/1998,1336695
7/1/1998,1267662
10/1/1998,1342300
1/1/1999,1385008
4/1/1999,1445908
7/1/1999,1445861
10/1/1999,1461737
1/1/2000,1463031
4/1/2000,1438850
7/1/2000,1418975
10/1/2000,1439213
1/1/2001,1417281
4/1/2001,1448195
7/1/2001,1330090
10/1/2001,1461926
1/1/2002,1415533
4/1/2002,1384835
7/1/2002,1410393
10/1/2002,1387700
1/1/2003,1375529
4/1/2003,1309093
7/1/2003,1188284
10/1/2003,1343152
1/1/2004,1263195
4/1/2004,1173735
7/1/2004,1306068
10/1/2004,1245032
1/1/2005,1358555
4/1/2005,1458656
7/1/2005,1470050
10/1/2005,1412769
1/1/2006,1453374
4/1/2006,1355299
7/1/2006,1293577
10/1/2006,1367180
1/1/2007,1400280
4/1/2007,1393119
7/1/2007,1271841
10/1/2007,1227299
1/1/2008,1186072
4/1/2008,829971
7/1/2008,657768
10/1/2008,724257
1/1/2009,961207
4/1/2009,718464
7/1/2009,550536
10/1/2009,534838
1/1/2010,405125
4/1/2010,221605
7/1/2010,345184
10/1/2010,467530
1/1/2011,284123
4/1/2011,222419
7/1/2011,265938
10/1/2011,420813
1/1/2012,382985
4/1/2012,277378
7/1/2012,432394
10/1/2012,376308
1/1/2013,644481
4/1/2013,661384
7/1/2013,667030
10/1/2013,702423
1/1/2014,725666
4/1/2014,801927
7/1/2014,812063
10/1/2014,835496
1/1/2015,917342
4/1/2015,972956
7/1/2015,924308
10/1/2015,916588
1/1/2016,1006130
4/1/2016,1125720
7/1/2016,1126168
10/1/2016,1066549
1/1/2017,1056189
4/1/2017,1183071
7/1/2017,1198834
10/1/2017,1148540
1/1/2018,1228304
4/1/2018,1337683
7/1/2018,1366335
10/1/2018,1242196
1/1/2019,1333208
4/1/2019,1541182
7/1/2019,1597805
10/1/2019,1659192
